name,age_group,ethnicity,experience,qualification_score,decision
Douglas Mcgee,46-55,Middle Eastern,3.8,96.5,Accepted
Sandra Mendez,36-45,East Asian,18.7,78.7,Rejected
Rebekah James,26-35,East Asian,2.4,71.0,Rejected
David Sanchez,18-25,Hispanic,12.6,73.8,Rejected
Janet Beck,56+,Caucasian,11.7,83.0,Accepted
Lindsay Bartlett,26-35,Hispanic,10.5,81.5,Rejected
Marc Ibarra,56+,African American,18.5,88.1,Rejected
Jeffrey Carr,18-25,African American,3.8,68.1,Rejected
Mary Gonzalez,46-55,East Asian,1.7,82.2,Rejected
Steven Smith,56+,Hispanic,8.5,95.3,Accepted
Gail Bradley,18-25,African American,2.2,93.7,Accepted
Amber Diaz,56+,East Asian,10.6,88.2,Accepted
Sally Boone,18-25,South Asian,7.1,98.6,Accepted
Jean Morris,36-45,East Asian,2.4,92.8,Accepted
Lisa Mcbride,26-35,South Asian,8.5,70.1,Rejected
Jeffrey Winters,18-25,Caucasian,19.2,86.7,Accepted
Tammy Goodwin,36-45,Hispanic,15.8,91.9,Accepted
Patrick Russell,56+,East Asian,18.0,71.1,Rejected
Andrew Davis,18-25,Caucasian,10.9,77.4,Rejected
Matthew Trevino,46-55,Caucasian,14.5,98.2,Accepted
Isabella Cabrera,36-45,South Asian,10.8,78.0,Rejected
Walter Mcdonald,46-55,Caucasian,5.1,86.5,Accepted
Kimberly Brown,26-35,East Asian,13.2,74.2,Rejected
Jim Kline,18-25,African American,5.8,88.3,Accepted
Shelley Mitchell,46-55,African American,14.3,85.9,Rejected
Patricia Watts,36-45,African American,19.8,79.0,Rejected
Jacqueline West,46-55,Caucasian,12.1,83.7,Accepted
Miranda Downs,46-55,South Asian,17.5,71.3,Rejected
Denise Fisher,46-55,African American,2.0,84.4,Rejected
Mark Lee,36-45,Caucasian,7.0,73.2,Rejected
Richard Howell,56+,Caucasian,16.4,89.0,Accepted
Ashley Short,26-35,Caucasian,10.2,66.4,Rejected
Tyler Stewart,46-55,Hispanic,8.9,92.2,Accepted
Mary Wilson,46-55,African American,17.8,92.2,Accepted
Tammie Larsen,26-35,African American,7.1,87.6,Rejected
Misty Hall,26-35,Hispanic,13.1,85.6,Rejected
Kelly Dawson,56+,Middle Eastern,1.5,82.3,Rejected
Robert Green,26-35,South Asian,5.1,97.4,Accepted
Amber Munoz,36-45,Hispanic,18.4,96.4,Accepted
Robert Carlson,36-45,Caucasian,12.7,78.2,Rejected
Jonathan Cruz,36-45,Caucasian,18.8,90.8,Accepted
Samuel Roberson,26-35,African American,17.9,67.6,Rejected
Ashley Williams,18-25,African American,13.8,79.8,Rejected
Stephanie Robinson,18-25,South Asian,16.2,76.3,Rejected
Kyle Mathis,26-35,Caucasian,1.6,84.8,Accepted
Dr. Robert Ball,56+,Caucasian,8.3,97.6,Accepted
Daniel Stone,56+,East Asian,14.4,70.9,Rejected
Casey Murphy,56+,East Asian,5.0,84.8,Accepted
Katherine Gill,26-35,Caucasian,13.7,83.8,Accepted
Jeffery Smith,26-35,East Asian,15.6,70.8,Rejected
Melissa Lee,36-45,Hispanic,14.1,65.1,Rejected
David Jennings,36-45,African American,13.8,88.1,Accepted
William Mills,46-55,South Asian,11.2,90.4,Accepted
Rebecca May,46-55,South Asian,16.0,98.2,Accepted
Matthew Jefferson,46-55,Hispanic,5.8,74.8,Rejected
Sherry Thompson,46-55,Middle Eastern,11.9,70.3,Rejected
Julia Mathews,18-25,Hispanic,10.0,68.6,Rejected
Mary Ryan,56+,South Asian,17.7,81.3,Rejected
Krystal Murray,26-35,East Asian,17.5,82.6,Accepted
Tiffany English,46-55,Hispanic,8.1,77.3,Rejected
Sherri Carrillo,18-25,African American,4.9,71.5,Rejected
George Palmer,36-45,East Asian,5.7,98.4,Accepted
John Moore,26-35,East Asian,16.0,81.4,Accepted
Jacqueline Lopez,18-25,Middle Eastern,16.4,76.8,Rejected
Melissa Robinson,56+,Caucasian,19.8,80.2,Rejected
Mrs. Jennifer Sanchez,18-25,South Asian,15.4,95.4,Accepted
James Wells,18-25,East Asian,2.0,75.9,Rejected
Monica Hoffman,56+,East Asian,4.5,72.5,Rejected
Amanda Wilson,56+,Caucasian,18.9,81.2,Rejected
Daniel Velasquez,36-45,East Asian,5.0,67.8,Rejected
Shelley Gomez,26-35,African American,7.5,81.7,Rejected
Sarah Lee,18-25,South Asian,13.2,65.7,Rejected
Alyssa Collins,56+,Hispanic,3.2,94.8,Accepted
Sean Harding,26-35,African American,4.1,69.3,Rejected
Danielle Jones,26-35,Hispanic,8.5,90.7,Accepted
Gina Robertson,18-25,South Asian,10.6,81.6,Accepted
Timothy Gregory,56+,Caucasian,8.3,73.9,Rejected
Yvonne Garcia,36-45,African American,11.4,81.2,Rejected
John Aguilar,26-35,Hispanic,9.7,72.7,Rejected
Barry Blankenship,46-55,Middle Eastern,15.6,82.2,Rejected
Hayley Chase,36-45,Hispanic,5.9,65.8,Rejected
Ms. Melissa Vincent,18-25,African American,13.8,67.4,Rejected
Teresa Martinez,46-55,Hispanic,3.2,86.9,Rejected
Cameron Collins,36-45,Caucasian,2.0,81.1,Accepted
Reginald Johnson,26-35,East Asian,17.7,80.7,Accepted
Ian Austin,26-35,African American,16.9,86.6,Rejected
Emily Price,36-45,South Asian,18.9,75.2,Rejected
Beth Mann,18-25,East Asian,15.5,75.3,Rejected
Ronnie Miller,26-35,South Asian,11.6,97.8,Accepted
Jerome Nelson,26-35,South Asian,7.1,68.4,Rejected
Christina Smith,46-55,South Asian,7.9,70.8,Rejected
Nathan Lopez,18-25,African American,2.3,78.4,Rejected
Daniel Jordan,26-35,Caucasian,4.7,93.8,Accepted
Chase Lewis,18-25,South Asian,5.0,70.1,Rejected
Steven Jones,36-45,Caucasian,15.2,93.2,Accepted
Laurie Meyer,18-25,South Asian,12.1,69.2,Rejected
Larry Smith,18-25,South Asian,5.7,75.5,Rejected
Lawrence Adams PhD,36-45,South Asian,6.0,86.0,Accepted
Robert Valencia,46-55,Caucasian,17.5,94.6,Accepted
Tracy Chambers,46-55,Hispanic,18.9,94.6,Accepted
Maria Anderson,36-45,East Asian,1.0,88.9,Accepted
Amber Oconnor,36-45,Hispanic,6.5,81.5,Rejected
Jon Ryan,18-25,East Asian,3.6,79.4,Rejected
Andrew Marshall,56+,Middle Eastern,15.9,83.1,Rejected
James Silva,56+,East Asian,12.8,85.9,Accepted
Pamela Jackson,26-35,Middle Eastern,1.8,92.5,Accepted
Jason Stone,46-55,African American,12.1,80.0,Rejected
Patricia Sparks,26-35,Caucasian,2.7,87.3,Accepted
Sarah Ortiz,18-25,Hispanic,6.0,82.2,Rejected
Brandon Freeman,36-45,Hispanic,15.6,67.7,Rejected
Chelsea Jones,26-35,Hispanic,14.3,87.6,Rejected
Lisa Carter,36-45,Caucasian,19.4,96.8,Accepted
Stacy Thompson,26-35,Middle Eastern,9.9,85.1,Rejected
Terry Garcia,56+,East Asian,4.7,65.6,Rejected
William Medina,36-45,Caucasian,2.0,72.0,Rejected
Mrs. Michelle Neal MD,46-55,South Asian,11.1,85.4,Accepted
Melissa Livingston,46-55,South Asian,2.1,98.3,Accepted
Richard Morgan,36-45,Hispanic,2.3,82.0,Rejected
Steven Barrera,26-35,African American,1.9,85.4,Rejected
Kenneth Anderson,18-25,Caucasian,10.7,95.6,Accepted
Emily Buchanan,56+,Hispanic,7.3,96.7,Accepted
Jeremy Carroll,18-25,Caucasian,2.9,83.0,Accepted
Charlotte Moore,26-35,African American,11.9,93.4,Accepted
Charles Lee,18-25,Caucasian,13.9,95.2,Accepted
Erin Rogers,46-55,Middle Eastern,11.7,95.3,Accepted
Matthew Mcclain,26-35,Caucasian,6.6,77.6,Rejected
Mr. Mark Santos DDS,36-45,Caucasian,16.2,86.3,Accepted
Mrs. Cassandra Mitchell,26-35,East Asian,18.0,83.0,Accepted
Regina Aguilar,18-25,South Asian,5.9,98.2,Accepted
Jessica Williams,36-45,East Asian,10.6,75.9,Rejected
Amber Brown,18-25,Hispanic,5.5,84.3,Rejected
Michael Smith,26-35,African American,9.5,81.8,Rejected
Todd Randall,56+,Middle Eastern,15.6,95.1,Accepted
Joshua Santana,36-45,African American,16.8,65.8,Rejected
Tina Lee,26-35,Middle Eastern,16.6,76.2,Rejected
Michael Martinez,56+,Caucasian,1.2,72.6,Rejected
Ana Smith,36-45,African American,4.6,76.8,Rejected
Andrea Smith,36-45,South Asian,8.4,94.2,Accepted
Christina Leon,36-45,Caucasian,5.7,96.7,Accepted
Robert Taylor,36-45,Middle Eastern,15.5,84.8,Rejected
Vanessa Snyder,56+,Caucasian,14.5,75.1,Rejected
Keith Perez,26-35,East Asian,6.0,96.8,Accepted
Gregory Fisher,56+,African American,13.2,90.5,Rejected
Sarah Jones,26-35,Hispanic,2.3,76.9,Rejected
Ryan Hernandez,56+,South Asian,16.4,74.7,Rejected
Edward Hodges,26-35,African American,13.8,90.2,Accepted
Eric Montes,26-35,South Asian,4.5,90.0,Accepted
Jennifer Jones,46-55,Caucasian,9.7,78.4,Rejected
Christina Anderson,26-35,South Asian,8.9,78.8,Rejected
Anthony Barnett,36-45,East Asian,1.2,89.5,Accepted
Laura Campos,56+,Caucasian,19.0,72.7,Rejected
John Stein,56+,African American,1.9,73.0,Rejected
Randy Stewart,26-35,Hispanic,14.5,80.7,Rejected
Michelle Myers,18-25,Hispanic,9.7,84.3,Rejected
William Scott,56+,South Asian,16.4,97.7,Accepted
Guy Carr,18-25,Hispanic,16.3,94.0,Accepted
Juan Davis,46-55,Middle Eastern,10.7,92.7,Accepted
Kimberly Bean,26-35,Caucasian,12.2,98.9,Accepted
Peter Curtis,18-25,Caucasian,2.1,82.6,Accepted
Tina Hall,36-45,African American,2.0,84.4,Rejected
Elizabeth White DVM,56+,Caucasian,10.7,71.0,Rejected
Jessica Walsh,56+,Middle Eastern,19.9,72.2,Rejected
Anthony Collins,56+,African American,12.9,75.1,Rejected
Mr. Larry Rogers,46-55,Caucasian,12.8,80.4,Rejected
Megan Cortez,26-35,African American,3.8,96.4,Accepted
Daniel Brown,26-35,Caucasian,1.5,82.3,Accepted
Taylor Sims,26-35,East Asian,7.9,89.7,Accepted
Rodney Griffin,26-35,African American,10.0,97.6,Accepted
Linda Williams,36-45,South Asian,16.8,86.3,Accepted
Adam Hardy,56+,Middle Eastern,9.8,84.4,Rejected
Dennis Scott,36-45,South Asian,1.7,98.0,Accepted
Paul Curry,18-25,Middle Eastern,17.9,67.0,Rejected
Mr. Nicholas Clark MD,36-45,South Asian,2.4,77.9,Rejected
Marc Green,18-25,South Asian,13.4,85.5,Accepted
Brian Harris,46-55,East Asian,12.2,76.2,Rejected
Luis Cooper,56+,East Asian,19.8,90.7,Accepted
Michael Gomez,56+,Caucasian,5.5,78.3,Rejected
Ryan Williams,46-55,Middle Eastern,10.0,73.6,Rejected
James Cordova,36-45,African American,14.3,84.8,Rejected
Brian Larson,46-55,Hispanic,10.9,69.3,Rejected
Melinda Thomas,46-55,Middle Eastern,17.1,84.5,Rejected
Brandon Solomon,56+,Hispanic,6.8,78.6,Rejected
Janet Smith,26-35,Caucasian,14.4,92.0,Accepted
Carlos Reed,36-45,South Asian,7.5,77.2,Rejected
Ronnie Skinner,46-55,South Asian,19.3,78.3,Rejected
Timothy Morales,56+,Caucasian,13.7,97.4,Accepted
Erika Fernandez,36-45,East Asian,4.7,78.9,Rejected
Paula Jones,46-55,Middle Eastern,11.3,78.3,Rejected
Thomas Marks,18-25,South Asian,5.6,84.6,Accepted
Charles Moore,26-35,Middle Eastern,19.2,85.2,Rejected
Michael Wilson,56+,East Asian,3.4,88.6,Accepted
James Stanley,36-45,Hispanic,15.6,86.9,Rejected
Glenn Green,26-35,South Asian,7.4,96.3,Accepted
Derek Dyer,36-45,East Asian,5.0,67.0,Rejected
Dwayne Hall,18-25,Caucasian,7.3,97.5,Accepted
April Harris,18-25,South Asian,13.6,83.2,Accepted
Roger Larson,36-45,Hispanic,4.7,85.7,Rejected
Christine Garcia,46-55,African American,1.9,88.2,Rejected
Caitlin Clark,18-25,African American,12.5,89.0,Accepted
Christopher Hunt,18-25,African American,2.8,85.5,Rejected
Taylor Garcia,56+,Caucasian,3.9,94.3,Accepted
Sheryl Sloan,36-45,Hispanic,2.2,69.4,Rejected
Alexis Miller,46-55,Middle Eastern,5.7,73.8,Rejected
Diana Munoz,36-45,African American,18.0,90.0,Accepted
Kimberly Stevenson,56+,East Asian,1.5,87.3,Accepted
Belinda Lee,46-55,East Asian,4.5,98.4,Accepted
Alfred Hernandez,36-45,Hispanic,13.3,68.5,Rejected
Julie Henderson,56+,Caucasian,17.0,84.0,Accepted
Alexis Terry,46-55,African American,19.6,87.2,Rejected
Nicholas Stevens,36-45,Caucasian,18.8,91.4,Accepted
John Owen,26-35,South Asian,14.4,90.1,Accepted
Ashley Cole,56+,Caucasian,18.1,66.0,Rejected
Catherine Williams,46-55,Hispanic,7.6,85.9,Rejected
Julia Moreno,56+,African American,16.8,92.4,Accepted
Mark Sandoval,26-35,Middle Eastern,13.5,67.7,Rejected
Robert Hartman,56+,Middle Eastern,3.8,93.7,Accepted
Carla Martinez,36-45,Caucasian,13.0,88.1,Accepted
William Sanders,56+,Caucasian,13.8,73.5,Rejected
Alexandra Davies,56+,Caucasian,13.9,68.1,Rejected
Peter Carroll,46-55,Middle Eastern,8.1,96.4,Accepted
Elizabeth Shah,56+,Caucasian,18.7,78.6,Rejected
Deborah Jimenez,56+,South Asian,6.4,75.1,Rejected
Brooke Hampton,56+,South Asian,19.0,76.8,Rejected
Amy Wood,36-45,Middle Eastern,9.9,68.8,Rejected
Patricia Roman,26-35,Caucasian,6.8,78.2,Rejected
Jason Hardin,26-35,African American,17.7,90.8,Accepted
Elizabeth Miller,26-35,East Asian,15.6,70.1,Rejected
Emily Johnson,46-55,Caucasian,14.4,74.8,Rejected
Joseph Reynolds,26-35,Caucasian,6.8,76.9,Rejected
Alyssa Shelton,46-55,Hispanic,15.0,89.5,Rejected
Jordan Miller,36-45,Caucasian,18.5,79.0,Rejected
Jordan Dawson,36-45,Caucasian,7.5,86.4,Accepted
Karen Francis,36-45,Caucasian,4.7,81.0,Accepted
Christina May,26-35,East Asian,1.3,99.0,Accepted
James Jackson,46-55,Hispanic,14.9,74.7,Rejected
Timothy Osborne,46-55,Middle Eastern,9.8,69.5,Rejected
Molly Strickland,26-35,African American,10.2,67.9,Rejected
Matthew Salinas,26-35,South Asian,17.6,94.6,Accepted
Courtney Morrow,18-25,South Asian,19.8,93.4,Accepted
Brittney Waters,36-45,African American,6.6,70.7,Rejected
Jason Galloway,56+,Caucasian,2.7,74.3,Rejected
Charles Hoffman,56+,East Asian,4.3,87.7,Accepted
Brooke Church,46-55,East Asian,6.0,68.5,Rejected
Thomas Garcia,36-45,South Asian,15.3,75.3,Rejected
Derek Anderson,18-25,Hispanic,1.8,94.1,Accepted
Christine Jenkins,46-55,Caucasian,14.4,77.0,Rejected
Jasmine Mathews,26-35,Middle Eastern,14.4,96.3,Accepted
Craig Bond,26-35,South Asian,16.4,73.1,Rejected
Debbie Wang,56+,East Asian,8.4,93.2,Accepted
Kristy Garcia,46-55,Caucasian,4.8,77.5,Rejected
Travis Clark,56+,Middle Eastern,2.5,92.8,Accepted
Julia Ellis,46-55,Caucasian,16.8,69.9,Rejected
Tammy Clayton,46-55,South Asian,4.1,66.6,Rejected
Cheryl Sharp,26-35,Hispanic,18.4,83.0,Rejected
Ashley Martinez,36-45,African American,17.8,74.2,Rejected
Susan Taylor,18-25,Caucasian,2.6,73.9,Rejected
Gary Mata,46-55,African American,14.8,75.3,Rejected
Sandra Fuller,56+,Hispanic,12.2,90.2,Rejected
Kathy Allison,26-35,Hispanic,6.9,85.4,Rejected
Ryan Garcia,46-55,South Asian,2.0,92.2,Accepted
Joseph Glover,56+,Middle Eastern,5.0,94.7,Accepted
Christopher Hernandez,26-35,East Asian,10.5,83.1,Accepted
Michelle Dominguez,26-35,African American,11.5,85.0,Rejected
Collin Brown,56+,Hispanic,19.4,81.4,Rejected
Matthew Cruz,46-55,Middle Eastern,6.9,90.2,Rejected
Keith Velasquez,18-25,Hispanic,12.7,85.7,Rejected
Jordan Jones,36-45,Hispanic,5.4,89.7,Accepted
Abigail Wilson,26-35,Middle Eastern,15.0,74.6,Rejected
William Brown,56+,East Asian,16.6,88.7,Accepted
Desiree Morales,56+,Middle Eastern,11.0,69.8,Rejected
Patricia Brady,18-25,East Asian,18.5,69.7,Rejected
Sandra Lyons MD,18-25,South Asian,3.2,72.3,Rejected
Phyllis Russell,18-25,Middle Eastern,10.7,70.7,Rejected
Danielle Henry,26-35,African American,19.3,81.6,Rejected
Tonya Livingston,26-35,South Asian,1.4,91.8,Accepted
Paul Gentry,46-55,South Asian,16.1,77.1,Rejected
Ashley Robertson,26-35,African American,17.0,84.7,Rejected
Taylor Mclean,18-25,Caucasian,11.4,85.3,Accepted
Rachel Myers,46-55,South Asian,13.4,83.0,Accepted
Heather Harrison,26-35,Caucasian,2.3,83.6,Accepted
Daniel Stuart,36-45,South Asian,16.0,67.2,Rejected
Haley Simon,18-25,Hispanic,3.6,92.2,Accepted
Austin Johnson,36-45,East Asian,11.3,84.2,Accepted
Karen Wade,56+,Caucasian,18.1,79.5,Rejected
Tamara Brown,18-25,Middle Eastern,6.5,91.7,Accepted
Heather Holland,18-25,East Asian,3.5,81.5,Accepted
Joseph Mendez,36-45,African American,2.2,74.5,Rejected
Kyle Gilbert,46-55,Caucasian,16.8,86.8,Accepted
Alicia Moore,56+,East Asian,17.2,71.0,Rejected
Denise David,26-35,Middle Eastern,14.4,84.5,Rejected
Franklin Dillon,26-35,Hispanic,12.5,87.8,Rejected
Lisa Walter,36-45,Middle Eastern,19.5,73.9,Rejected
Thomas Austin,56+,Hispanic,7.7,73.4,Rejected
James Murphy,36-45,African American,12.1,93.3,Accepted
Susan Brown,18-25,East Asian,16.2,76.2,Rejected
Joann Rodriguez,36-45,East Asian,6.0,90.9,Accepted
Benjamin Rowe,46-55,Caucasian,13.2,87.6,Accepted
Jonathan Stephenson,18-25,Hispanic,18.8,91.5,Accepted
Jennifer Patel,36-45,Hispanic,14.7,79.4,Rejected
Darlene Freeman,18-25,African American,18.8,66.0,Rejected
Shawna Jones,36-45,East Asian,19.1,77.9,Rejected
Alexis Richards,26-35,East Asian,17.7,81.0,Accepted
Joshua Brown,56+,Caucasian,8.2,79.8,Rejected
Amanda Nelson,46-55,Middle Eastern,3.6,89.9,Rejected
Gina Bailey,56+,Middle Eastern,12.4,66.6,Rejected
Paul Robertson,46-55,East Asian,13.5,79.7,Rejected
Dr. Tiffany Chambers DDS,46-55,South Asian,1.9,67.8,Rejected
Mark Vargas DDS,46-55,Middle Eastern,11.3,93.6,Accepted
Heidi Lawson,18-25,East Asian,7.4,91.1,Accepted
Michele Hammond,36-45,African American,14.2,95.1,Accepted
Sharon Noble,18-25,East Asian,2.9,88.1,Accepted
Brittany Mcdaniel,56+,African American,19.2,86.1,Rejected
John Lang,46-55,East Asian,16.5,91.2,Accepted
Jeffrey Anderson,26-35,Caucasian,9.3,96.1,Accepted
Diana Jacobs,18-25,Caucasian,15.7,92.6,Accepted
Andrea Schultz,56+,East Asian,17.8,92.0,Accepted
Roger Knox,18-25,Middle Eastern,5.0,70.3,Rejected
Jason Williams,26-35,African American,17.5,65.4,Rejected
James Alvarez,46-55,Middle Eastern,1.6,89.8,Rejected
Daniel Ward,56+,South Asian,5.0,96.8,Accepted
Brandi Woods,46-55,Caucasian,16.6,91.5,Accepted
Melissa Meadows,46-55,East Asian,14.6,88.6,Accepted
Melinda Grimes,26-35,South Asian,9.2,80.5,Accepted
Mary Sanchez,36-45,Hispanic,4.4,75.3,Rejected
Tonya Stanley,36-45,East Asian,1.1,95.1,Accepted
Andrew Ortega,18-25,South Asian,17.0,82.4,Accepted
Geoffrey Owens,46-55,East Asian,19.2,67.8,Rejected
Martha Colon,56+,South Asian,13.8,65.3,Rejected
Jeffrey Berg,46-55,South Asian,19.0,80.9,Rejected
Teresa Werner,36-45,African American,10.4,67.0,Rejected
Kim Graham,56+,Caucasian,9.7,77.6,Rejected
Seth Shah,36-45,Middle Eastern,18.8,66.3,Rejected
Annette Martinez,18-25,Middle Eastern,15.0,76.7,Rejected
Kelli Collins,56+,Middle Eastern,5.6,74.5,Rejected
Victoria Ramirez,46-55,Middle Eastern,1.1,90.3,Rejected
Kevin Brown,26-35,African American,15.3,73.8,Rejected
Robert Escobar,18-25,Caucasian,5.7,75.7,Rejected
Juan Brooks,26-35,Middle Eastern,16.2,65.4,Rejected
Ruth Contreras,26-35,African American,1.6,77.6,Rejected
Lauren Phelps,56+,Hispanic,7.9,66.7,Rejected
Katherine White,18-25,Caucasian,14.6,99.0,Accepted
Nicole White,18-25,East Asian,6.9,77.7,Rejected
Jill Bray,56+,Middle Eastern,12.5,81.2,Rejected
Christy Cabrera,26-35,Middle Eastern,17.1,65.2,Rejected
Randy Leonard,36-45,East Asian,4.8,66.2,Rejected
Craig Edwards,18-25,East Asian,2.9,68.4,Rejected
Courtney Wilson,26-35,South Asian,14.0,87.0,Accepted
Robert Ho,18-25,East Asian,12.8,83.3,Accepted
Stephanie Horton,18-25,Middle Eastern,3.6,86.4,Rejected
Johnny Harrell,26-35,Hispanic,2.8,78.2,Rejected
Jennifer Kelly,46-55,Middle Eastern,13.2,85.0,Rejected
Robin Young,26-35,East Asian,3.3,88.7,Accepted
Stephanie Hernandez,36-45,African American,10.0,98.4,Accepted
Michael Johnson,18-25,Caucasian,6.6,95.2,Accepted
John Bennett,18-25,Middle Eastern,18.8,90.0,Accepted
Mr. Dylan White,56+,Middle Eastern,3.5,78.5,Rejected
Kristi Smith,26-35,East Asian,8.6,79.6,Rejected
Phillip Adams,18-25,South Asian,10.7,94.4,Accepted
Marcus Gray,46-55,East Asian,16.3,73.9,Rejected
David Edwards,46-55,Middle Eastern,3.4,78.8,Rejected
Shawn Walker,26-35,African American,19.5,80.5,Rejected
David Carroll,46-55,Caucasian,3.1,77.4,Rejected
Denise Bennett,26-35,Hispanic,18.2,80.5,Rejected
Tracy George,46-55,East Asian,1.8,94.5,Accepted
Jonathan Miller,56+,East Asian,19.6,76.7,Rejected
Alyssa Wright,36-45,Middle Eastern,5.6,87.1,Rejected
Travis Bradford,18-25,Middle Eastern,18.4,76.5,Rejected
Sandra Mason,46-55,Caucasian,16.4,75.6,Rejected
David Mercado,26-35,African American,14.3,65.5,Rejected
Harold Smith,18-25,Hispanic,7.5,98.1,Accepted
Brandy Washington,36-45,African American,19.5,78.9,Rejected
Shelly Jones,26-35,African American,12.8,65.3,Rejected
Chad Martinez,46-55,African American,17.4,93.9,Accepted
Jennifer Owens,18-25,African American,18.9,72.7,Rejected
Susan Herrera,26-35,Hispanic,10.9,65.9,Rejected
John Cox,18-25,Hispanic,2.1,81.4,Rejected
Patricia Underwood DVM,18-25,African American,9.3,73.4,Rejected
Carl Scott,56+,East Asian,2.8,73.5,Rejected
Ronnie Jackson,18-25,East Asian,3.1,68.2,Rejected
Kristopher Foster,18-25,Hispanic,18.2,85.4,Rejected
Joanna Herrera,26-35,African American,4.9,89.4,Accepted
Miss Kathryn Nicholson,26-35,South Asian,5.8,73.0,Rejected
William Sullivan,46-55,African American,16.6,76.7,Rejected
Sandy Baker,26-35,Middle Eastern,13.4,98.6,Accepted
Michael Beck,36-45,South Asian,14.6,82.1,Accepted
Tonya Smith,26-35,Hispanic,1.0,78.8,Rejected
Alyssa Walker,36-45,East Asian,14.0,82.0,Accepted
Catherine Smith,36-45,Hispanic,15.6,97.5,Accepted
Stephen Carson,46-55,African American,16.3,70.0,Rejected
Dale Martin,26-35,East Asian,11.1,80.8,Accepted
Jeffrey Miller,18-25,East Asian,13.5,67.6,Rejected
Michele Walters,26-35,Middle Eastern,12.9,93.2,Accepted
Danielle Lawson,36-45,Middle Eastern,1.8,85.9,Rejected
Edward Moore,36-45,Hispanic,3.1,72.9,Rejected
Regina Stewart,26-35,Middle Eastern,11.6,95.7,Accepted
Janet Barrett,26-35,Hispanic,6.0,90.8,Accepted
Amanda Petersen,18-25,Caucasian,19.6,65.1,Rejected
Lindsay Adams,26-35,Hispanic,15.8,78.9,Rejected
Ian Mccullough,18-25,Hispanic,2.5,91.9,Accepted
Terri Parsons,56+,East Asian,5.9,69.8,Rejected
Susan Carter,18-25,Hispanic,14.1,94.0,Accepted
Amanda Henderson,36-45,Caucasian,7.8,98.3,Accepted
Richard Fields,46-55,Middle Eastern,11.8,73.6,Rejected
Kelly Bennett,56+,Caucasian,2.3,76.8,Rejected
Jackie Turner,26-35,Caucasian,6.8,94.9,Accepted
Juan Carter,18-25,Caucasian,9.8,87.3,Accepted
Matthew Evans,46-55,East Asian,9.6,65.6,Rejected
Jasmine Powell,26-35,African American,7.2,95.5,Accepted
Emily Allen,18-25,South Asian,11.0,75.6,Rejected
Andrew Gardner,26-35,Caucasian,15.3,81.0,Accepted
Sherry Rich,36-45,Middle Eastern,1.3,98.6,Accepted
Rebecca Burton,26-35,Middle Eastern,17.3,73.5,Rejected
Bradley Stout,18-25,South Asian,10.9,89.6,Accepted
Jason Powers,56+,Middle Eastern,10.8,75.6,Rejected
Jillian Werner,26-35,Caucasian,11.3,75.1,Rejected
Brittany Peterson,56+,South Asian,3.8,66.4,Rejected
Douglas Hill,18-25,East Asian,4.5,85.5,Accepted
Stephen Floyd,36-45,Caucasian,8.4,83.4,Accepted
Heather Dickerson,36-45,Middle Eastern,19.9,66.7,Rejected
Veronica Dillon,46-55,Hispanic,10.3,90.3,Rejected
Regina Simmons,56+,East Asian,2.5,73.0,Rejected
Tammy Reese,36-45,Middle Eastern,15.3,68.6,Rejected
Kenneth Cochran,26-35,Caucasian,3.1,79.8,Rejected
Ruth Travis,46-55,African American,16.3,93.0,Accepted
Trevor Mccoy,46-55,East Asian,9.9,89.2,Accepted
Taylor Norman,36-45,Caucasian,7.7,69.3,Rejected
Melissa Reynolds,36-45,African American,6.4,92.9,Accepted
John Martinez,18-25,South Asian,5.7,95.8,Accepted
Jamie Thomas,46-55,Middle Eastern,5.8,97.8,Accepted
Kari Hudson,46-55,Middle Eastern,2.0,86.0,Rejected
Desiree Chambers MD,36-45,East Asian,15.4,81.9,Accepted
Patricia Nixon,56+,South Asian,5.8,89.0,Accepted
Michael Fuller,26-35,Hispanic,11.8,98.5,Accepted
Sydney Garcia,26-35,Middle Eastern,18.4,98.2,Accepted
Kevin Moore,18-25,Hispanic,7.4,98.1,Accepted
Bernard Mckenzie,26-35,African American,16.8,70.5,Rejected
Elizabeth Richards,56+,Middle Eastern,7.8,86.7,Rejected
Tony Robinson,36-45,Middle Eastern,19.3,79.2,Rejected
Crystal Garcia,18-25,Middle Eastern,7.2,70.8,Rejected
Michael Rivera,56+,East Asian,12.1,86.9,Accepted
Brian Stewart,56+,African American,18.3,97.0,Accepted
Jeffrey Salazar,26-35,Caucasian,15.0,85.3,Accepted
Jeremy Jones,56+,South Asian,9.2,89.9,Accepted
Chris Taylor,56+,Middle Eastern,5.5,73.9,Rejected
Selena Martinez,56+,African American,16.1,94.6,Accepted
Michelle Cervantes,26-35,Caucasian,3.3,84.0,Accepted
Zachary Sharp,18-25,African American,6.0,66.0,Rejected
Douglas Morrow,36-45,African American,14.2,92.3,Accepted
Angela Warren,56+,South Asian,19.4,71.3,Rejected
Roy Bennett,36-45,Caucasian,12.8,65.8,Rejected
Sean Sherman,18-25,African American,13.3,83.2,Rejected
Timothy Herman,36-45,East Asian,13.9,80.1,Accepted
Madison Solomon,46-55,East Asian,2.3,96.5,Accepted
Eric Mendoza,46-55,Caucasian,9.4,91.7,Accepted
Judy Brown,56+,Hispanic,11.6,76.4,Rejected
